time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0 sec,-6981.797,10335.59,3116.04,-154.898,-515.267,1331.692,-0.093,0.424,-4.348,-0,-0,-0,-33.765,-5.714,1164.798,5.829,-0.354,0.402,0.384,3.277,-0.352,2.15,-0.304,0.102,0.373,2.47,3.699,-30.029,-0.344,0.139,0.369,8.114,4.387,-31.119
0.001 sec,-137.712,277.566,-0.618,4.401,3.787,35.943,-0.156,0.362,-3.724,-0,-0,-0,-31.81,-5.605,1554.485,96.753,-0.354,0.399,0.384,3.285,-0.043,1.609,-0.305,0.1,0.372,2.298,3.655,-28.675,-0.347,0.137,0.368,7.817,4.461,-29.744
0.002 sec,-56.219,167.841,-2.79,2.953,2.234,24.896,-0.196,0.322,-3.308,-0,-0,-0,-30.335,-5.513,1551.606,95.443,-0.355,0.397,0.383,3.292,0.179,1.209,-0.307,0.098,0.372,2.181,3.612,-27.646,-0.349,0.135,0.368,7.594,4.503,-28.696
0.003 sec,-26.072,132.849,-3.519,2.453,1.684,21.916,-0.238,0.283,-2.901,-0,-0,-0,-28.712,-5.416,1524.065,89.039,-0.355,0.395,0.383,3.301,0.421,0.776,-0.309,0.097,0.372,2.054,3.563,-26.507,-0.351,0.132,0.368,7.353,4.544,-27.537
0.004 sec,-14.971,124.679,-3.998,2.33,1.546,21.786,-0.275,0.25,-2.557,-0,-0,-0,-27.168,-5.328,1488.523,81.079,-0.355,0.392,0.383,3.313,0.649,0.369,-0.31,0.096,0.372,1.933,3.513,-25.415,-0.354,0.13,0.368,7.127,4.578,-26.427
0.005 sec,-13.434,127.778,-4.07,2.352,1.55,22.771,-0.308,0.222,-2.277,-0,-0,-0,-25.742,-5.254,1452.336,73.325,-0.356,0.39,0.383,3.327,0.858,-0.001,-0.312,0.094,0.372,1.822,3.463,-24.4,-0.356,0.128,0.367,6.923,4.605,-25.395
0.006 sec,-17.385,136.199,-3.866,2.422,1.619,24.27,-0.339,0.197,-2.034,-0,-0,-0,-24.353,-5.186,1416.484,65.924,-0.356,0.388,0.382,3.342,1.059,-0.354,-0.313,0.093,0.371,1.712,3.411,-23.402,-0.357,0.126,0.367,6.727,4.626,-24.381
0.007 sec,-24.665,146.923,-3.455,2.494,1.715,25.95,-0.367,0.177,-1.835,-0,-0,-0,-23.07,-5.129,1384.058,59.448,-0.356,0.386,0.382,3.359,1.242,-0.673,-0.314,0.092,0.371,1.611,3.359,-22.473,-0.359,0.124,0.367,6.55,4.641,-23.438
0.008 sec,-35.411,163.767,-3.04,2.613,1.895,28.673,-0.4,0.153,-1.624,-0,-0,-0,-21.529,-5.066,1346.225,52.005,-0.357,0.384,0.382,3.383,1.458,-1.047,-0.316,0.09,0.371,1.49,3.289,-21.345,-0.361,0.121,0.366,6.343,4.652,-22.295
0.009 sec,-45.666,185.34,-3.064,2.805,2.178,32.469,-0.431,0.133,-1.449,-0,-0,-0,-20.081,-5.013,1311.051,44.917,-0.357,0.381,0.382,3.409,1.656,-1.388,-0.317,0.088,0.371,1.377,3.217,-20.275,-0.363,0.119,0.366,6.152,4.656,-21.21
0.01 sec,-54.616,210.281,-3.334,3.057,2.514,37.124,-0.459,0.115,-1.313,-0,-0,-0,-18.791,-4.972,1279.85,38.348,-0.357,0.379,0.381,3.435,1.829,-1.684,-0.318,0.087,0.371,1.276,3.146,-19.312,-0.365,0.117,0.366,5.987,4.652,-20.234
0.011 sec,-63.407,238.032,-3.49,3.353,2.859,42.448,-0.484,0.1,-1.2,-0,-0,-0,-17.613,-4.939,1251.951,32.314,-0.358,0.377,0.381,3.461,1.984,-1.947,-0.319,0.086,0.37,1.185,3.076,-18.424,-0.366,0.115,0.366,5.84,4.645,-19.336
0.012 sec,-72.582,270.754,-3.479,3.685,3.221,48.915,-0.511,0.084,-1.094,-0,-0,-0,-16.366,-4.91,1223.572,25.887,-0.358,0.375,0.381,3.492,2.144,-2.217,-0.32,0.084,0.37,1.088,2.995,-17.475,-0.368,0.112,0.365,5.689,4.631,-18.376
0.013 sec,-80.656,304.574,-3.426,4.006,3.57,55.792,-0.539,0.069,-0.998,-0,-0,-0,-15.144,-4.887,1196.653,19.373,-0.358,0.372,0.381,3.525,2.299,-2.474,-0.321,0.083,0.37,0.993,2.91,-16.537,-0.37,0.11,0.365,5.545,4.613,-17.428
0.014 sec,-88.739,341.972,-3.53,4.291,3.97,63.458,-0.566,0.054,-0.914,-0,-0,-0,-13.951,-4.871,1171.608,12.58,-0.359,0.37,0.38,3.559,2.447,-2.716,-0.323,0.081,0.37,0.9,2.82,-15.612,-0.371,0.108,0.365,5.408,4.591,-16.493
0.015 sec,-97.149,380.449,-3.87,4.555,4.446,71.368,-0.593,0.039,-0.835,-0,-0,0,-12.778,-4.861,1148.511,5.513,-0.359,0.368,0.38,3.596,2.591,-2.947,-0.324,0.08,0.37,0.807,2.725,-14.693,-0.373,0.105,0.364,5.277,4.566,-15.565
0.016 sec,-103.476,415.029,-4.064,4.755,4.851,78.641,-0.618,0.025,-0.769,-0,-0,0,-11.725,-4.859,1128.676,-1.265,-0.359,0.365,0.38,3.63,2.718,-3.147,-0.325,0.078,0.369,0.723,2.635,-13.86,-0.374,0.103,0.364,5.164,4.54,-14.726
