time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0 sec,-5662.489,11962.352,419.12,393.76,41,1722.777,0.726,0.978,-4.738,1.156,2.696,-15.433,-33.734,0.024,1258.562,110.539,-0.354,0.402,0.384,3.277,-0.351,2.145,-0.304,0.101,0.369,8.132,4.387,-31.098,-0.344,0.139,0.369,8.108,4.384,-31.093
0.001 sec,-149.827,319.374,56.978,9.682,-4.262,39.36,0.688,0.85,-4.053,1.059,2.251,-12.82,-31.724,0.232,1652.558,174.559,-0.354,0.399,0.384,3.28,-0.074,1.62,-0.306,0.099,0.368,8.024,4.454,-29.692,-0.347,0.137,0.369,7.795,4.422,-29.647
0.002 sec,-59.125,204.23,20.42,7.875,-1.6,29.001,0.661,0.756,-3.55,0.995,1.929,-10.904,-30.045,0.406,1647.834,166.034,-0.355,0.397,0.384,3.283,0.143,1.189,-0.307,0.098,0.368,7.935,4.5,-28.507,-0.349,0.134,0.368,7.536,4.436,-28.427
0.003 sec,-24.242,177.634,8.595,7.72,-1.109,28.133,0.635,0.67,-3.088,0.94,1.637,-9.146,-28.299,0.577,1611.999,153.182,-0.355,0.395,0.383,3.288,0.364,0.746,-0.309,0.096,0.368,7.835,4.544,-27.266,-0.351,0.132,0.368,7.27,4.442,-27.152
0.004 sec,-12.685,180.128,5.766,8.054,-1.194,29.946,0.614,0.603,-2.733,0.898,1.414,-7.798,-26.777,0.718,1569.817,143.842,-0.355,0.393,0.383,3.296,0.554,0.366,-0.31,0.095,0.368,7.744,4.581,-26.178,-0.354,0.13,0.368,7.043,4.44,-26.036
0.005 sec,-11.887,194.199,7.658,8.504,-1.655,32.827,0.594,0.547,-2.431,0.864,1.228,-6.662,-25.318,0.851,1525.837,137.687,-0.355,0.39,0.383,3.306,0.733,0.007,-0.312,0.094,0.368,7.656,4.615,-25.126,-0.355,0.128,0.368,6.829,4.432,-24.958
0.006 sec,-18.556,214.397,12.937,8.974,-2.424,36.251,0.576,0.495,-2.159,0.834,1.063,-5.644,-23.83,0.985,1481.042,133.832,-0.356,0.388,0.383,3.318,0.911,-0.353,-0.313,0.092,0.368,7.568,4.647,-24.047,-0.357,0.126,0.368,6.615,4.417,-23.852
0.007 sec,-30.394,235.784,19.285,9.442,-3.172,39.576,0.56,0.452,-1.931,0.809,0.928,-4.804,-22.42,1.113,1440.303,131.954,-0.356,0.386,0.383,3.333,1.075,-0.686,-0.314,0.091,0.368,7.489,4.675,-23.016,-0.359,0.124,0.368,6.416,4.396,-22.797
0.008 sec,-44.578,260.78,26.357,10.052,-4,43.524,0.545,0.413,-1.729,0.788,0.81,-4.069,-20.992,1.246,1401.223,131.503,-0.356,0.384,0.383,3.351,1.235,-1.015,-0.315,0.09,0.368,7.414,4.7,-21.963,-0.361,0.122,0.367,6.22,4.365,-21.718
0.009 sec,-59.898,292.543,34.148,10.943,-5.007,48.766,0.531,0.378,-1.546,0.769,0.706,-3.419,-19.528,1.385,1363.579,132.486,-0.357,0.382,0.382,3.372,1.392,-1.344,-0.317,0.088,0.368,7.344,4.722,-20.875,-0.363,0.119,0.367,6.023,4.325,-20.604
