time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz
0 sec,-5454.416,11495.144,420.078,376.988,36.818,1653.099,0.605,0.678,-3.01,1.155,2.692,-15.407,-33.714,0.026,1270.901,112.812,-0.354,0.402,0.384,3.277,-0.348,2.14,-0.304,0.101,0.369,8.131,4.388,-31.085
0.001 sec,-148.138,327.511,59.752,9.788,-4.918,40.922,0.577,0.602,-2.633,1.058,2.248,-12.804,-31.711,0.235,1649.333,175.673,-0.354,0.399,0.384,3.28,-0.072,1.616,-0.306,0.099,0.368,8.025,4.454,-29.683
0.002 sec,-57.968,213.215,23.27,8.024,-2.222,30.644,0.557,0.546,-2.354,0.996,1.926,-10.883,-30.025,0.411,1642.713,168.2,-0.355,0.397,0.384,3.283,0.145,1.183,-0.307,0.097,0.368,7.937,4.5,-28.495
0.003 sec,-25.168,187.402,12.226,7.842,-1.767,29.713,0.538,0.497,-2.11,0.944,1.65,-9.223,-28.382,0.575,1609.042,156.992,-0.355,0.395,0.383,3.288,0.353,0.766,-0.309,0.096,0.368,7.846,4.543,-27.328
0.004 sec,-13.919,188.919,9.222,8.158,-1.802,31.353,0.522,0.455,-1.908,0.903,1.425,-7.857,-26.844,0.723,1566.832,148.169,-0.355,0.393,0.383,3.295,0.545,0.381,-0.31,0.095,0.368,7.758,4.581,-26.229
0.005 sec,-13.698,203.404,11.248,8.624,-2.272,34.31,0.505,0.416,-1.72,0.866,1.222,-6.614,-25.248,0.873,1519.355,141.889,-0.355,0.39,0.383,3.306,0.739,-0.012,-0.312,0.093,0.368,7.667,4.618,-25.08
0.006 sec,-21.676,223.338,16.494,9.097,-2.98,37.618,0.49,0.383,-1.561,0.837,1.055,-5.582,-23.726,1.015,1474.27,138.335,-0.356,0.388,0.383,3.319,0.92,-0.379,-0.313,0.092,0.368,7.582,4.651,-23.976
0.007 sec,-33.855,243.979,22.619,9.559,-3.675,40.808,0.477,0.355,-1.43,0.813,0.922,-4.751,-22.319,1.148,1434.323,136.794,-0.356,0.386,0.383,3.334,1.082,-0.711,-0.314,0.091,0.368,7.508,4.679,-22.948
0.008 sec,-48.795,269.857,29.711,10.217,-4.495,44.903,0.465,0.328,-1.306,0.793,0.801,-3.999,-20.839,1.291,1394.776,136.679,-0.356,0.384,0.383,3.353,1.246,-1.051,-0.316,0.089,0.368,7.436,4.705,-21.857
0.009 sec,-62.033,297.088,36.17,11.003,-5.32,49.415,0.454,0.307,-1.206,0.777,0.709,-3.422,-19.536,1.42,1361.97,137.769,-0.357,0.382,0.383,3.371,1.384,-1.343,-0.317,0.088,0.368,7.377,4.725,-20.889
0.01 sec,-73.664,329.795,42.828,12.055,-6.339,55.254,0.444,0.286,-1.11,0.763,0.625,-2.898,-18.128,1.566,1328.507,140.291,-0.357,0.379,0.382,3.395,1.526,-1.649,-0.318,0.087,0.368,7.323,4.743,-19.834
0.011 sec,-84.89,366.447,49.382,13.283,-7.441,62.003,0.435,0.267,-1.02,0.75,0.551,-2.438,-16.696,1.721,1295.919,143.819,-0.357,0.377,0.382,3.421,1.663,-1.952,-0.319,0.085,0.368,7.276,4.759,-18.754
0.012 sec,-92.705,397.656,53.96,14.379,-8.305,67.939,0.429,0.253,-0.954,0.742,0.502,-2.133,-15.563,1.849,1271.432,147.36,-0.358,0.375,0.382,3.444,1.764,-2.185,-0.32,0.084,0.368,7.246,4.768,-17.892
0.013 sec,-100.365,437.52,58.942,15.843,-9.357,75.737,0.422,0.237,-0.878,0.734,0.45,-1.814,-14.175,2.015,1242.709,152.75,-0.358,0.372,0.382,3.474,1.879,-2.462,-0.321,0.082,0.367,7.219,4.776,-16.829
0.014 sec,-105.896,472.285,62.988,17.147,-10.271,82.653,0.418,0.224,-0.818,0.728,0.412,-1.59,-13.01,2.162,1219.534,158.278,-0.358,0.37,0.382,3.502,1.968,-2.686,-0.322,0.081,0.367,7.206,4.781,-15.93
0.015 sec,-110.972,507.875,66.989,18.489,-11.216,89.791,0.414,0.212,-0.761,0.724,0.381,-1.402,-11.874,2.314,1197.571,164.368,-0.359,0.368,0.382,3.53,2.047,-2.899,-0.323,0.079,0.367,7.201,4.784,-15.048
0.016 sec,-116.427,547.779,71.205,20.001,-12.248,97.843,0.412,0.2,-0.7,0.721,0.351,-1.229,-10.644,2.488,1174.622,171.683,-0.359,0.365,0.382,3.563,2.125,-3.122,-0.324,0.078,0.367,7.206,4.785,-14.087
0.017 sec,-122.952,591.893,75.615,21.666,-13.332,106.495,0.41,0.189,-0.641,0.72,0.326,-1.084,-9.441,2.67,1153.529,179.984,-0.359,0.363,0.382,3.597,2.192,-3.332,-0.325,0.076,0.367,7.222,4.785,-13.14
0.018 sec,-128.297,634.337,80.317,23.264,-14.534,114.701,0.411,0.179,-0.585,0.721,0.306,-0.963,-8.303,2.853,1135.183,188.907,-0.36,0.361,0.382,3.631,2.247,-3.524,-0.325,0.075,0.367,7.248,4.785,-12.24
0.019 sec,-132.379,675.669,84.533,24.829,-15.69,122.791,0.412,0.169,-0.527,0.724,0.288,-0.856,-7.174,3.047,1117.49,198.093,-0.36,0.358,0.382,3.666,2.293,-3.707,-0.326,0.073,0.367,7.286,4.785,-11.341
0.02 sec,-136.303,718.443,88.555,26.448,-16.824,131.231,0.415,0.159,-0.466,0.729,0.271,-0.752,-6.012,3.26,1099.429,207.688,-0.36,0.356,0.382,3.704,2.332,-3.889,-0.327,0.072,0.367,7.335,4.786,-10.41
0.021 sec,-141.735,758.754,92.041,27.921,-17.765,139.023,0.419,0.151,-0.411,0.735,0.257,-0.664,-5.017,3.453,1084.461,216.299,-0.361,0.354,0.382,3.737,2.358,-4.039,-0.328,0.07,0.367,7.387,4.787,-9.609
0.022 sec,-146.558,797.949,95.257,29.307,-18.682,146.453,0.423,0.143,-0.356,0.742,0.244,-0.581,-4.077,3.645,1071.422,224.886,-0.361,0.352,0.382,3.77,2.376,-4.176,-0.328,0.069,0.367,7.444,4.79,-8.85
0.023 sec,-150.359,844.135,98.587,30.963,-19.761,155.179,0.429,0.133,-0.286,0.754,0.229,-0.474,-2.944,3.89,1056.281,235.501,-0.361,0.349,0.382,3.81,2.388,-4.335,-0.329,0.067,0.367,7.523,4.796,-7.929
0.024 sec,-154.688,893.576,102.053,32.722,-20.911,164.267,0.437,0.123,-0.21,0.768,0.213,-0.356,-1.79,4.156,1041.454,246.786,-0.362,0.347,0.382,3.853,2.391,-4.491,-0.33,0.066,0.366,7.616,4.804,-6.988
0.025 sec,-158.321,938.637,105.289,34.285,-21.997,172.161,0.445,0.114,-0.14,0.782,0.199,-0.243,-0.813,4.393,1029.956,256.923,-0.362,0.344,0.382,3.89,2.385,-4.618,-0.33,0.064,0.366,7.704,4.813,-6.187
0.026 sec,-160.191,980.31,108.086,35.712,-22.99,179.283,0.454,0.105,-0.07,0.798,0.184,-0.124,0.114,4.63,1019.636,266.672,-0.362,0.342,0.382,3.926,2.372,-4.734,-0.331,0.063,0.366,7.796,4.825,-5.426
0.027 sec,-161.962,1027.03,110.831,37.3,-24.024,187.257,0.464,0.095,0.016,0.818,0.165,0.03,1.174,4.915,1007.56,277.792,-0.362,0.34,0.382,3.969,2.348,-4.863,-0.332,0.061,0.366,7.91,4.841,-4.552
0.028 sec,-164.089,1077.211,114.405,39.053,-25.316,195.269,0.475,0.084,0.104,0.84,0.144,0.2,2.19,5.202,996.534,288.993,-0.363,0.337,0.382,4.011,2.315,-4.981,-0.332,0.06,0.366,8.03,4.86,-3.712
0.029 sec,-164.811,1198.001,95.35,43.468,-28.252,206.005,0.488,0.071,0.208,0.866,0.118,0.41,3.293,5.531,985.609,302.849,-0.363,0.335,0.382,4.058,2.269,-5.106,-0.333,0.058,0.366,8.171,4.884,-2.797
0.03 sec,-95.317,2055.309,-134.221,73.881,-58.214,239.031,0.5,0.061,0.297,0.889,0.095,0.603,4.178,5.812,963.921,314.33,-0.363,0.333,0.382,4.1,2.211,-5.205,-0.333,0.057,0.366,8.299,4.898,-2.064
0.031 sec,155.19,4152.099,-285.86,140.8,-132.25,321.675,0.513,0.048,0.403,0.916,0.064,0.842,5.156,6.136,905.622,302.046,-0.363,0.331,0.382,4.171,2.063,-5.329,-0.334,0.055,0.366,8.471,4.841,-1.264
0.032 sec,552.136,5691.505,997.965,179.035,-181.443,393.981,0.522,0.036,0.496,0.936,0.035,1.059,5.947,6.413,845.057,328.666,-0.363,0.329,0.382,4.267,1.8,-5.461,-0.334,0.054,0.365,8.659,4.663,-0.64
0.033 sec,877.161,7290.779,1597.828,215.299,-217.588,459.122,0.541,0.023,0.599,0.976,0.002,1.314,6.812,6.843,763.493,489.44,-0.363,0.327,0.382,4.385,1.407,-5.655,-0.335,0.053,0.365,8.976,4.441,-0.022
0.034 sec,869.368,7442.047,1592.517,209.317,-211.665,471.685,0.57,0.015,0.683,1.04,-0.022,1.524,7.51,7.39,684.514,638.152,-0.362,0.325,0.382,4.477,1.008,-5.877,-0.335,0.052,0.365,9.385,4.3,0.385
0.035 sec,671.685,6391.101,1309.637,169.911,-169.299,435.078,0.612,0.009,0.758,1.134,-0.042,1.721,8.166,8.102,609.559,755.594,-0.361,0.324,0.383,4.56,0.552,-6.161,-0.335,0.051,0.365,9.921,4.209,0.666
0.036 sec,385.515,4793.37,912.166,119.781,-114.868,375.142,0.66,0.004,0.823,1.253,-0.057,1.892,8.748,8.901,545.398,819.836,-0.36,0.323,0.383,4.631,0.081,-6.487,-0.335,0.05,0.365,10.523,4.161,0.823
0.037 sec,113.838,3300.142,552.221,77.475,-68.519,318.235,0.712,0.001,0.879,1.393,-0.066,2.042,9.273,9.746,492.354,838.236,-0.358,0.322,0.384,4.693,-0.394,-6.845,-0.335,0.05,0.365,11.162,4.143,0.89
0.038 sec,-81.228,2266.868,303.748,49.825,-37.708,278.831,0.765,-0.001,0.926,1.545,-0.069,2.172,9.738,10.57,451.135,827.082,-0.357,0.322,0.385,4.746,-0.843,-7.206,-0.335,0.05,0.366,11.787,4.142,0.899
0.039 sec,-193.937,1714.183,175.387,36.476,-22.466,257.821,0.815,-0.003,0.966,1.701,-0.068,2.283,10.144,11.331,419.121,803.333,-0.355,0.322,0.386,4.793,-1.251,-7.552,-0.335,0.049,0.366,12.368,4.15,0.874
0.04 sec,-264.429,1411.066,112.471,30.357,-15.578,246.598,0.869,-0.005,1.007,1.884,-0.062,2.395,10.558,12.139,389.034,773.7,-0.353,0.321,0.387,4.84,-1.676,-7.928,-0.335,0.049,0.366,12.985,4.166,0.825
0.041 sec,-307.995,1249.436,84.619,27.637,-12.651,240.79,0.925,-0.006,1.044,2.085,-0.05,2.5,10.953,12.939,362.177,743.641,-0.352,0.321,0.388,4.886,-2.088,-8.308,-0.335,0.049,0.367,13.598,4.189,0.758
0.042 sec,-333.87,1166.798,73.795,26.443,-11.429,237.881,0.976,-0.007,1.076,2.282,-0.033,2.591,11.297,13.653,340.137,717.593,-0.35,0.32,0.389,4.926,-2.45,-8.653,-0.335,0.049,0.367,14.148,4.216,0.685
0.043 sec,-348.474,1124.523,70.127,25.98,-11.05,236.371,1.027,-0.007,1.104,2.489,-0.011,2.674,11.617,14.337,320.52,693.984,-0.348,0.32,0.39,4.962,-2.789,-8.987,-0.335,0.049,0.368,14.677,4.249,0.605
0.044 sec,-358.854,1090.776,70.947,25.651,-10.884,234.962,1.083,-0.006,1.132,2.722,0.02,2.755,11.937,15.041,301.755,671.376,-0.347,0.32,0.391,4.999,-3.128,-9.332,-0.335,0.049,0.368,15.222,4.291,0.513
0.045 sec,-365.87,1070.176,70.379,25.527,-10.738,233.994,1.139,-0.003,1.157,2.971,0.057,2.831,12.243,15.73,284.683,651.164,-0.345,0.32,0.392,5.032,-3.45,-9.67,-0.335,0.049,0.369,15.755,4.341,0.416
0.046 sec,-369.467,1058.741,69.112,25.544,-10.747,233.252,1.194,-0,1.179,3.216,0.099,2.896,12.513,16.355,270.222,634.37,-0.344,0.319,0.393,5.061,-3.733,-9.977,-0.335,0.049,0.369,16.241,4.396,0.321
0.047 sec,-370.944,1053.369,66.472,25.666,-10.69,232.71,1.25,0.004,1.199,3.482,0.148,2.958,12.775,16.98,256.71,618.953,-0.342,0.319,0.394,5.087,-4.006,-10.28,-0.335,0.049,0.369,16.725,4.46,0.222
0.048 sec,-370.958,1050.17,63.843,25.834,-10.665,232.18,1.308,0.009,1.216,3.757,0.204,3.014,13.022,17.582,244.504,605.194,-0.341,0.319,0.395,5.11,-4.259,-10.57,-0.335,0.048,0.37,17.193,4.53,0.122
0.049 sec,-370.32,1047.519,61.337,26.034,-10.628,231.63,1.367,0.016,1.232,4.044,0.267,3.064,13.255,18.166,233.486,592.921,-0.339,0.318,0.396,5.131,-4.496,-10.848,-0.334,0.048,0.37,17.645,4.606,0.022
0.05 sec,-368.639,1044.812,59.052,26.263,-10.539,231.028,1.429,0.024,1.246,4.354,0.339,3.112,13.483,18.753,223.105,581.4,-0.338,0.318,0.397,5.15,-4.727,-11.123,-0.334,0.048,0.371,18.101,4.691,-0.081
0.051 sec,-366.855,1042.337,56.97,26.533,-10.373,230.444,1.494,0.033,1.259,4.685,0.42,3.155,13.705,19.339,213.458,570.787,-0.337,0.318,0.398,5.166,-4.948,-11.393,-0.334,0.048,0.371,18.555,4.784,-0.186
