time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0 sec,-5734.378,12058.512,433.391,395.21,39.963,1734.979,0.726,0.978,-4.742,1.452,1.956,-9.483,-33.743,0.024,1261.014,111.373,-0.354,0.402,0.384,3.277,-0.353,2.148,-0.304,0.101,0.369,8.133,4.386,-31.104,-0.344,0.139,0.369,8.11,4.384,-31.1
0.001 sec,-100.108,140.159,37.211,3.169,-1.964,13.722,0.686,0.842,-4.011,1.372,1.684,-8.022,-31.588,0.247,1728.451,180.878,-0.354,0.399,0.384,3.279,-0.059,1.587,-0.306,0.099,0.369,8.017,4.456,-29.594,-0.347,0.137,0.369,7.773,4.421,-29.545
0.002 sec,-15.535,23.044,3.287,0.856,0.191,2.383,0.657,0.743,-3.48,1.314,1.486,-6.96,-29.795,0.427,1785.443,169.554,-0.355,0.397,0.383,3.281,0.169,1.133,-0.308,0.098,0.368,7.914,4.5,-28.321,-0.349,0.134,0.368,7.494,4.432,-28.237
0.003 sec,-1.735,2.788,0.104,0.137,0.073,0.309,0.629,0.657,-3.025,1.259,1.314,-6.05,-28.045,0.583,1815.822,150.45,-0.355,0.395,0.383,3.283,0.386,0.696,-0.309,0.096,0.368,7.795,4.538,-27.066,-0.352,0.132,0.368,7.225,4.432,-26.951
0.004 sec,0,0,0,0,0,0,0.601,0.58,-2.621,1.202,1.159,-5.242,-26.261,0.719,1836.022,128.069,-0.355,0.393,0.383,3.287,0.602,0.258,-0.311,0.095,0.368,7.654,4.57,-25.777,-0.354,0.13,0.368,6.954,4.424,-25.635
0.005 sec,0,0,0,0,0,0,0.571,0.51,-2.264,1.143,1.02,-4.528,-24.443,0.834,1849.782,105.46,-0.356,0.391,0.383,3.293,0.82,-0.185,-0.312,0.094,0.368,7.49,4.597,-24.451,-0.356,0.128,0.368,6.682,4.408,-24.287
0.006 sec,0,0,0,0,0,0,0.541,0.448,-1.954,1.081,0.896,-3.908,-22.601,0.928,1858.138,83.191,-0.356,0.388,0.383,3.3,1.038,-0.629,-0.314,0.093,0.368,7.305,4.615,-23.099,-0.359,0.126,0.368,6.41,4.384,-22.917
0.007 sec,0,0,0,0,0,0,0.506,0.39,-1.674,1.012,0.781,-3.349,-20.63,1.003,1862.02,60.224,-0.356,0.386,0.383,3.31,1.269,-1.099,-0.315,0.092,0.368,7.085,4.626,-21.643,-0.361,0.124,0.368,6.125,4.351,-21.446
0.008 sec,0,0,0,0,0,0,0.472,0.343,-1.452,0.945,0.686,-2.904,-18.783,1.053,1862.031,39.575,-0.357,0.384,0.382,3.32,1.484,-1.538,-0.317,0.091,0.368,6.863,4.626,-20.269,-0.364,0.122,0.367,5.862,4.313,-20.063
0.009 sec,0,0,0,0,0,0,0.438,0.302,-1.27,0.877,0.605,-2.54,-16.989,1.082,1859.176,20.528,-0.357,0.382,0.382,3.332,1.691,-1.96,-0.319,0.09,0.368,6.633,4.615,-18.928,-0.366,0.12,0.367,5.612,4.271,-18.718
0.01 sec,0,0,0,0,0,0,0.401,0.264,-1.104,0.801,0.527,-2.208,-15.081,1.093,1853.84,1.362,-0.357,0.38,0.382,3.345,1.91,-2.407,-0.32,0.089,0.368,6.373,4.593,-17.495,-0.368,0.118,0.367,5.351,4.219,-17.284
0.011 sec,0,0,0,0,0,0,0.362,0.229,-0.963,0.725,0.458,-1.927,-13.212,1.086,1846.719,-16.162,-0.357,0.378,0.382,3.36,2.124,-2.842,-0.322,0.088,0.369,6.107,4.558,-16.084,-0.371,0.115,0.367,5.102,4.162,-15.876
0.012 sec,0,0,0,0,0,0,0.324,0.198,-0.841,0.648,0.396,-1.682,-11.398,1.062,1838.403,-31.937,-0.358,0.376,0.382,3.375,2.33,-3.262,-0.324,0.087,0.369,5.838,4.512,-14.709,-0.373,0.113,0.367,4.864,4.102,-14.507
0.013 sec,0,0,0,0,0,0,0.284,0.168,-0.723,0.567,0.335,-1.447,-9.522,1.021,1828.554,-46.855,-0.358,0.373,0.381,3.393,2.542,-3.695,-0.325,0.087,0.369,5.551,4.451,-13.281,-0.375,0.111,0.367,4.625,4.034,-13.089
0.014 sec,0,0,0,0,0,0,0.241,0.137,-0.602,0.481,0.274,-1.204,-7.565,0.963,1817.172,-60.926,-0.358,0.371,0.381,3.412,2.763,-4.144,-0.327,0.086,0.369,5.244,4.374,-11.788,-0.377,0.109,0.366,4.381,3.957,-11.608
0.015 sec,0,0,0,0,0,0,0.203,0.111,-0.493,0.407,0.222,-0.987,-5.875,0.902,1806.437,-71.794,-0.359,0.369,0.381,3.43,2.953,-4.53,-0.329,0.085,0.369,4.974,4.294,-10.493,-0.379,0.107,0.366,4.176,3.886,-10.327
0.016 sec,0,0,0,0,0,0,0.165,0.084,-0.372,0.331,0.167,-0.743,-4.14,0.827,1794.479,-81.655,-0.359,0.367,0.381,3.45,3.147,-4.925,-0.33,0.084,0.369,4.694,4.2,-9.16,-0.382,0.105,0.366,3.97,3.809,-9.009
0.017 sec,0,0,0,0,0,0,0.128,0.055,-0.233,0.256,0.111,-0.466,-2.376,0.742,1781.312,-90.44,-0.359,0.365,0.381,3.471,3.345,-5.324,-0.332,0.083,0.369,4.408,4.093,-7.802,-0.384,0.103,0.366,3.767,3.727,-7.669
0.018 sec,0,0,0,0,0,0,0.091,0.025,-0.067,0.181,0.05,-0.134,-0.557,0.645,1766.36,-98.144,-0.36,0.363,0.38,3.495,3.548,-5.735,-0.333,0.083,0.369,4.113,3.969,-6.399,-0.386,0.101,0.366,3.563,3.638,-6.285
0.019 sec,0,0,0,0,0,0,0.055,-0.008,0.137,0.109,-0.016,0.274,1.349,0.535,1748.981,-104.92,-0.36,0.36,0.38,3.52,3.76,-6.165,-0.335,0.082,0.37,3.805,3.826,-4.927,-0.388,0.099,0.366,3.356,3.54,-4.833
0.02 sec,0,0,0,0,0,0,0.027,-0.037,0.339,0.054,-0.074,0.677,2.958,0.436,1732.554,-109.664,-0.36,0.358,0.38,3.542,3.939,-6.527,-0.337,0.081,0.37,3.547,3.695,-3.682,-0.39,0.097,0.366,3.187,3.454,-3.607
0.021 sec,0,0,0,0,0,0,0.006,-0.064,0.539,0.012,-0.127,1.079,4.354,0.346,1716.693,-113.136,-0.36,0.357,0.38,3.563,4.095,-6.84,-0.338,0.081,0.37,3.326,3.574,-2.602,-0.392,0.096,0.366,3.044,3.377,-2.544
0.022 sec,0,0,0,0,0,0,-0.017,-0.102,0.86,-0.035,-0.205,1.719,6.278,0.216,1691.898,-117.147,-0.361,0.354,0.379,3.592,4.31,-7.273,-0.34,0.08,0.37,3.027,3.395,-1.113,-0.394,0.094,0.366,2.854,3.268,-1.077
0.023 sec,0,0,0,0,0,0,-0.033,-0.144,1.238,-0.067,-0.287,2.476,8.204,0.079,1662.832,-120.506,-0.361,0.352,0.379,3.623,4.525,-7.707,-0.342,0.079,0.37,2.733,3.205,0.378,-0.396,0.091,0.365,2.671,3.157,0.391
0.024 sec,0,0,0,0,0,0,-0.04,-0.186,1.658,-0.08,-0.372,3.317,10.043,-0.057,1630.261,-123.422,-0.361,0.349,0.379,3.653,4.733,-8.123,-0.344,0.078,0.37,2.459,3.012,1.799,-0.398,0.089,0.365,2.503,3.048,1.79
0.025 sec,0,0,0,0,0,0,-0.039,-0.216,1.982,-0.079,-0.433,3.964,11.298,-0.153,1604.753,-125.423,-0.361,0.347,0.379,3.675,4.876,-8.409,-0.345,0.078,0.371,2.276,2.875,2.767,-0.4,0.088,0.365,2.392,2.973,2.743
0.026 sec,0,0,0,0,0,0,-0.03,-0.256,2.43,-0.061,-0.513,4.86,12.846,-0.277,1568.393,-128.17,-0.362,0.345,0.379,3.703,5.054,-8.765,-0.347,0.077,0.371,2.054,2.699,3.959,-0.402,0.086,0.365,2.26,2.881,3.915
0.027 sec,0,0,0,0,0,0,-0.01,-0.306,3.011,-0.019,-0.612,6.022,14.638,-0.428,1519.36,-132.021,-0.362,0.343,0.378,3.737,5.263,-9.183,-0.349,0.076,0.371,1.803,2.487,5.332,-0.404,0.084,0.365,2.114,2.776,5.266
0.028 sec,0,0,0,0,0,0,0.017,-0.35,3.538,0.034,-0.699,7.077,16.088,-0.558,1472.543,-136.044,-0.362,0.341,0.378,3.766,5.436,-9.528,-0.35,0.075,0.371,1.602,2.308,6.438,-0.405,0.082,0.365,2.001,2.692,6.354
0.029 sec,16.894,34.57,-22.448,1.35,-0.272,0.599,0.055,-0.399,4.15,0.11,-0.798,8.301,17.612,-0.704,1415.219,-141.01,-0.362,0.338,0.378,3.798,5.622,-9.899,-0.352,0.074,0.371,1.393,2.113,7.594,-0.407,0.08,0.365,1.887,2.607,7.489
0.03 sec,207.415,395.558,-244.759,14.591,-3.467,6.804,0.095,-0.442,4.69,0.189,-0.884,9.379,18.839,-0.827,1364.1,-135.371,-0.362,0.336,0.378,3.827,5.772,-10.206,-0.354,0.073,0.371,1.23,1.948,8.516,-0.409,0.078,0.365,1.801,2.538,8.394
0.031 sec,697.707,1269.275,-646.91,43.327,-13.542,20.572,0.142,-0.489,5.272,0.284,-0.977,10.544,20.067,-0.938,1315.433,-101.98,-0.363,0.334,0.377,3.868,5.894,-10.518,-0.355,0.072,0.371,1.092,1.761,9.431,-0.41,0.076,0.365,1.729,2.441,9.294
0.032 sec,1520.701,2923.633,-528.483,89.532,-41.962,44.77,0.21,-0.555,6.067,0.421,-1.11,12.134,21.618,-1.011,1255.62,-6.03,-0.362,0.332,0.377,3.961,5.937,-10.904,-0.357,0.071,0.371,1.012,1.459,10.578,-0.412,0.074,0.364,1.683,2.205,10.434
0.033 sec,1463.121,3611.476,591.637,103.91,-67.156,48.632,0.255,-0.598,6.564,0.511,-1.197,13.129,22.527,-0.983,1153.581,78.224,-0.362,0.33,0.377,4.04,5.892,-11.132,-0.358,0.071,0.371,1.038,1.263,11.235,-0.413,0.073,0.364,1.682,1.996,11.098
0.034 sec,1802.23,4618.358,859.661,127.029,-87.18,58.593,0.323,-0.653,7.2,0.646,-1.306,14.4,23.635,-0.837,904.699,192.713,-0.361,0.329,0.376,4.143,5.817,-11.467,-0.358,0.07,0.37,1.147,1.092,11.965,-0.413,0.071,0.363,1.687,1.723,11.85
0.035 sec,1698.193,4340.179,810.592,116.731,-80.074,54.553,0.383,-0.69,7.657,0.767,-1.38,15.314,24.406,-0.599,646.57,280.76,-0.36,0.327,0.376,4.221,5.755,-11.803,-0.359,0.069,0.369,1.306,1.073,12.351,-0.414,0.07,0.362,1.689,1.528,12.269
0.036 sec,1353.257,3414.737,647.265,90.123,-61.693,44.971,0.436,-0.714,7.963,0.873,-1.428,15.926,24.92,-0.295,418.021,348.269,-0.359,0.326,0.376,4.281,5.704,-12.15,-0.359,0.068,0.369,1.502,1.169,12.465,-0.414,0.069,0.362,1.69,1.393,12.426
