time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0 sec,-5736.289,12282.006,438.67,403.117,35.532,1776.633,0.726,0.978,-4.739,-0,-0,-0,-33.735,0.024,1246.416,110.396,-0.354,0.402,0.384,3.277,-0.351,2.145,-0.304,0.101,0.369,8.133,4.387,-31.099,-0.344,0.139,0.369,8.109,4.384,-31.095
0.001 sec,-155.565,565.297,98.687,16.67,-13.794,81.195,0.689,0.853,-4.07,-0,-0,-0,-31.777,0.231,1589.46,176.505,-0.354,0.399,0.384,3.281,-0.081,1.627,-0.306,0.099,0.368,8.033,4.453,-29.736,-0.347,0.137,0.369,7.805,4.421,-29.691
0.002 sec,-69.211,459.52,64.263,15.431,-10.984,72.245,0.666,0.766,-3.595,-0,-0,-0,-30.202,0.407,1565.476,174.716,-0.355,0.397,0.384,3.285,0.121,1.216,-0.307,0.097,0.368,7.963,4.495,-28.634,-0.349,0.135,0.368,7.563,4.432,-28.553
0.003 sec,-52.153,441.299,55.527,15.483,-10.165,71.588,0.646,0.689,-3.177,-0,-0,-0,-28.647,0.581,1524.079,171.435,-0.355,0.395,0.383,3.291,0.314,0.816,-0.309,0.096,0.368,7.898,4.534,-27.539,-0.351,0.132,0.368,7.328,4.433,-27.424
0.004 sec,-57.571,447.608,55.58,15.805,-10.047,73.123,0.629,0.624,-2.822,-0,-0,-0,-27.165,0.749,1481.192,169.444,-0.355,0.393,0.383,3.3,0.491,0.44,-0.31,0.095,0.368,7.84,4.569,-26.49,-0.353,0.13,0.368,7.108,4.425,-26.342
0.005 sec,-70.204,460.054,58.155,16.18,-10.098,75.147,0.615,0.569,-2.522,-0,-0,-0,-25.759,0.912,1441.433,168.934,-0.355,0.391,0.383,3.311,0.653,0.09,-0.311,0.093,0.368,7.791,4.598,-25.487,-0.355,0.128,0.368,6.904,4.408,-25.308
0.006 sec,-84.815,473.633,61.104,16.589,-10.151,77.334,0.603,0.519,-2.246,-0,-0,-0,-24.3,1.086,1402.844,169.919,-0.356,0.388,0.383,3.326,0.813,-0.267,-0.313,0.092,0.368,7.747,4.625,-24.44,-0.357,0.126,0.368,6.695,4.379,-24.226
0.007 sec,-97.608,485.549,63.753,16.97,-10.236,79.336,0.593,0.477,-2.015,-0,-0,-0,-22.925,1.255,1369.687,172.36,-0.356,0.386,0.383,3.342,0.955,-0.596,-0.314,0.091,0.368,7.714,4.647,-23.447,-0.359,0.124,0.368,6.503,4.341,-23.201
0.008 sec,-107.923,496.25,65.462,17.38,-10.266,81.458,0.585,0.437,-1.798,-0,-0,-0,-21.45,1.445,1336.944,176.097,-0.356,0.384,0.383,3.362,1.097,-0.94,-0.315,0.089,0.368,7.689,4.666,-22.374,-0.36,0.121,0.368,6.301,4.287,-22.09
0.009 sec,-115.545,510.263,66.639,17.972,-10.358,84.456,0.578,0.402,-1.607,-0,-0,-0,-19.983,1.643,1305.699,180.542,-0.356,0.381,0.383,3.385,1.228,-1.275,-0.316,0.088,0.368,7.674,4.682,-21.299,-0.362,0.119,0.367,6.105,4.221,-20.978
0.01 sec,-120.592,525.782,67.731,18.614,-10.552,87.779,0.575,0.377,-1.473,-0,-0,-0,-18.82,1.807,1281.469,184.59,-0.357,0.38,0.383,3.406,1.324,-1.533,-0.317,0.086,0.368,7.671,4.691,-20.44,-0.364,0.117,0.367,5.953,4.158,-20.089
0.011 sec,-125.365,545.149,69.052,19.4,-10.846,91.866,0.572,0.355,-1.354,-0,-0,-0,-17.671,1.976,1257.963,189.023,-0.357,0.378,0.383,3.428,1.411,-1.783,-0.318,0.085,0.368,7.675,4.698,-19.587,-0.365,0.115,0.367,5.806,4.087,-19.204
0.012 sec,-129.88,567.367,70.7,20.287,-11.247,96.529,0.57,0.336,-1.249,-0,-0,-0,-16.539,2.15,1235.339,193.882,-0.357,0.376,0.383,3.451,1.49,-2.023,-0.319,0.084,0.368,7.688,4.703,-18.741,-0.366,0.113,0.367,5.664,4.008,-18.327
0.013 sec,-135.301,599.01,73.017,21.542,-11.856,103.16,0.57,0.314,-1.13,-0,-0,-0,-15.12,2.379,1207.635,200.551,-0.357,0.373,0.383,3.483,1.578,-2.315,-0.32,0.082,0.368,7.715,4.707,-17.673,-0.368,0.111,0.367,5.491,3.895,-17.218
0.014 sec,-140.471,632.119,75.35,22.837,-12.5,110.094,0.571,0.295,-1.03,-0,-0,-0,-13.786,2.607,1182.198,207.302,-0.358,0.37,0.383,3.516,1.649,-2.581,-0.321,0.081,0.368,7.753,4.708,-16.663,-0.37,0.108,0.367,5.333,3.776,-16.168
0.015 sec,-144.679,656.02,77.185,23.738,-12.981,114.922,0.573,0.285,-0.973,-0,-0,-0,-12.963,2.753,1167.082,211.884,-0.358,0.369,0.383,3.537,1.688,-2.741,-0.322,0.08,0.367,7.782,4.709,-16.035,-0.37,0.107,0.367,5.237,3.695,-15.515
0.016 sec,-149.601,690.652,79.571,25.051,-13.691,121.891,0.576,0.271,-0.898,-0,-0,-0,-11.814,2.967,1147.008,218.729,-0.358,0.367,0.382,3.568,1.734,-2.958,-0.323,0.078,0.367,7.832,4.709,-15.155,-0.372,0.105,0.367,5.107,3.574,-14.599
0.017 sec,-153.973,729.298,82.563,26.519,-14.608,129.602,0.581,0.258,-0.822,-0,-0,-0,-10.584,3.208,1126.461,226.671,-0.358,0.364,0.382,3.603,1.775,-3.184,-0.324,0.077,0.367,7.896,4.709,-14.206,-0.373,0.102,0.366,4.972,3.432,-13.61
0.018 sec,-159.285,770.416,85.414,28.033,-15.485,137.727,0.587,0.246,-0.75,-0,-0,-0,-9.366,3.46,1106.642,234.755,-0.359,0.362,0.382,3.64,1.804,-3.4,-0.325,0.075,0.367,7.972,4.71,-13.261,-0.374,0.1,0.366,4.841,3.28,-12.625
0.019 sec,-164.618,812.555,87.959,29.493,-16.31,145.96,0.594,0.235,-0.681,-0,-0,-0,-8.172,3.72,1088.235,242.829,-0.359,0.359,0.382,3.678,1.824,-3.604,-0.325,0.073,0.367,8.057,4.711,-12.329,-0.376,0.097,0.366,4.718,3.119,-11.651
0.02 sec,-167.66,848.453,89.49,30.749,-16.953,153.067,0.602,0.226,-0.622,-0,-0,-0,-7.146,3.954,1072.646,249.669,-0.359,0.357,0.383,3.712,1.833,-3.774,-0.326,0.072,0.367,8.139,4.714,-11.524,-0.377,0.095,0.366,4.615,2.971,-10.81
0.021 sec,-170.789,886.747,91.181,32.086,-17.659,160.628,0.61,0.217,-0.558,-0,-0,-0,-6.075,4.208,1056.512,256.774,-0.36,0.355,0.383,3.749,1.835,-3.947,-0.327,0.071,0.367,8.233,4.719,-10.68,-0.378,0.093,0.366,4.51,2.807,-9.926
0.022 sec,-173.848,924.43,92.937,33.403,-18.379,168.006,0.62,0.208,-0.495,-0,-0,-0,-5.048,4.463,1041.189,263.6,-0.36,0.353,0.383,3.786,1.828,-4.107,-0.327,0.069,0.367,8.331,4.725,-9.866,-0.379,0.091,0.366,4.413,2.64,-9.074
0.023 sec,-177.295,964.255,94.894,34.785,-19.161,175.673,0.631,0.199,-0.428,-0,-0,-0,-4.01,4.731,1025.918,270.537,-0.36,0.351,0.383,3.824,1.814,-4.264,-0.328,0.068,0.367,8.438,4.734,-9.04,-0.38,0.089,0.366,4.319,2.462,-8.209
0.024 sec,-180.77,1007.254,97.383,36.24,-20.077,183.619,0.642,0.19,-0.356,-0,-0,-0,-2.964,5.013,1011.244,277.731,-0.36,0.348,0.383,3.864,1.792,-4.417,-0.329,0.066,0.367,8.554,4.745,-8.204,-0.381,0.087,0.366,4.227,2.273,-7.332
0.025 sec,-183.607,1048.486,99.657,37.634,-20.949,190.964,0.654,0.181,-0.284,-0,-0,-0,-1.997,5.284,998.251,284.503,-0.361,0.346,0.383,3.902,1.763,-4.554,-0.329,0.065,0.367,8.669,4.757,-7.428,-0.382,0.085,0.366,4.145,2.089,-6.518
0.026 sec,-185.466,1089.085,101.878,38.98,-21.834,198.143,0.667,0.171,-0.206,-0,-0,-0,-1.004,5.572,985.015,291.406,-0.361,0.344,0.383,3.943,1.726,-4.691,-0.33,0.063,0.367,8.793,4.773,-6.627,-0.382,0.082,0.365,4.064,1.891,-5.678
0.027 sec,-187.072,1129.242,103.744,40.288,-22.624,205.306,0.68,0.16,-0.119,-0,-0,-0,0.002,5.875,971.245,298.082,-0.361,0.342,0.383,3.986,1.68,-4.826,-0.331,0.062,0.367,8.927,4.791,-5.814,-0.383,0.08,0.365,3.985,1.68,-4.824
0.028 sec,-190.372,1171.756,106.08,41.657,-23.517,212.512,0.694,0.149,-0.031,-0,-0,-0,0.954,6.172,958.517,304.403,-0.361,0.339,0.383,4.027,1.629,-4.95,-0.331,0.061,0.367,9.059,4.811,-5.043,-0.384,0.078,0.365,3.914,1.471,-4.013
0.029 sec,-193.819,1219.893,108.018,43.158,-24.491,219.864,0.707,0.138,0.061,-0,-0,-0,1.859,6.464,947.684,310.801,-0.362,0.337,0.383,4.068,1.572,-5.065,-0.332,0.059,0.367,9.191,4.833,-4.307,-0.385,0.076,0.365,3.85,1.264,-3.24
0.03 sec,-194.752,1280.641,109.561,45.036,-25.909,228.058,0.724,0.123,0.178,-0,-0,-0,2.936,6.824,935.94,318.795,-0.362,0.335,0.383,4.118,1.495,-5.199,-0.332,0.058,0.367,9.355,4.862,-3.43,-0.386,0.074,0.365,3.777,1.006,-2.317
0.031 sec,-170.156,1635.788,19.228,57.597,-37.369,244.341,0.737,0.111,0.277,-0,-0,-0,3.765,7.112,922.903,326.051,-0.362,0.333,0.383,4.159,1.426,-5.301,-0.333,0.056,0.367,9.488,4.884,-2.753,-0.386,0.072,0.365,3.725,0.796,-1.606
0.032 sec,-46.935,2891.508,-198.89,99.11,-82.516,294.558,0.752,0.096,0.394,-0,-0,-0,4.677,7.44,889.246,323.295,-0.362,0.331,0.383,4.215,1.311,-5.418,-0.333,0.055,0.366,9.651,4.882,-2.014,-0.387,0.07,0.365,3.68,0.526,-0.831
0.033 sec,254.364,4628.794,296.622,149.244,-145.521,369.219,0.764,0.08,0.514,-0,-0,-0,5.532,7.75,829.495,304.237,-0.362,0.329,0.383,4.299,1.092,-5.552,-0.334,0.054,0.366,9.835,4.773,-1.332,-0.387,0.068,0.364,3.671,0.159,-0.128
0.034 sec,621.907,5948.424,1291.886,178.687,-177.179,424.164,0.778,0.062,0.637,-0,-0,-0,6.358,8.1,763.384,394.279,-0.362,0.327,0.383,4.409,0.753,-5.722,-0.334,0.053,0.366,10.08,4.571,-0.713,-0.388,0.066,0.364,3.692,-0.322,0.506
0.035 sec,727.183,6684.312,1438.208,191.314,-191.765,458.166,0.804,0.049,0.744,-0,-0,-0,7.056,8.543,686.098,523.836,-0.361,0.326,0.384,4.504,0.398,-5.915,-0.334,0.052,0.366,10.403,4.419,-0.256,-0.388,0.065,0.363,3.711,-0.796,0.991
0.036 sec,637.753,6297.667,1304.207,170.634,-168.834,447.814,0.845,0.039,0.841,-0,-0,-0,7.704,9.128,610.217,638.256,-0.361,0.324,0.384,4.589,-0.002,-6.158,-0.335,0.051,0.365,10.839,4.312,0.083,-0.389,0.064,0.363,3.725,-1.306,1.376
0.037 sec,433.58,5190.829,1003.34,131.871,-125.127,407.104,0.898,0.032,0.925,-0,-0,-0,8.284,9.812,542.576,713.091,-0.36,0.323,0.385,4.663,-0.424,-6.443,-0.335,0.05,0.366,11.355,4.247,0.299,-0.389,0.063,0.363,3.735,-1.827,1.65
0.038 sec,191.16,3861.331,665.158,91.936,-79.723,356.194,0.96,0.027,0.997,-0,-0,-0,8.799,10.547,485.84,744.768,-0.358,0.323,0.385,4.728,-0.849,-6.76,-0.335,0.05,0.366,11.912,4.213,0.416,-0.389,0.062,0.363,3.739,-2.338,1.829
0.039 sec,-13.618,2763.076,391.168,61.557,-44.662,313.644,1.026,0.024,1.059,-0,-0,-0,9.26,11.29,440.771,743.443,-0.357,0.322,0.386,4.784,-1.262,-7.093,-0.335,0.049,0.366,12.478,4.199,0.462,-0.389,0.062,0.364,3.74,-2.826,1.937
0.04 sec,-162.689,1995.877,201.277,41.646,-21.076,283.679,1.097,0.023,1.116,-0,-0,-0,9.696,12.049,403.682,720.945,-0.355,0.322,0.387,4.836,-1.672,-7.448,-0.335,0.049,0.366,13.059,4.198,0.464,-0.389,0.062,0.364,3.739,-3.308,1.999
0.041 sec,-250.093,1588.911,106.895,32.435,-9.803,267.631,1.168,0.022,1.167,-0,-0,-0,10.094,12.772,373.829,690.101,-0.353,0.321,0.388,4.885,-2.055,-7.799,-0.335,0.049,0.367,13.615,4.204,0.436,-0.389,0.062,0.365,3.738,-3.754,2.026
0.042 sec,-297.724,1392.681,66.975,28.818,-5.233,259.808,1.235,0.022,1.211,-0,-0,-0,10.439,13.416,350.112,660.144,-0.352,0.321,0.389,4.927,-2.39,-8.123,-0.335,0.049,0.367,14.112,4.214,0.395,-0.389,0.062,0.365,3.735,-4.143,2.031
0.043 sec,-327.293,1281.959,47.677,27.175,-3.056,255.19,1.303,0.023,1.252,-0,-0,-0,10.763,14.033,329.376,631.019,-0.35,0.321,0.39,4.967,-2.705,-8.442,-0.335,0.049,0.367,14.591,4.229,0.341,-0.389,0.062,0.365,3.733,-4.509,2.02
0.044 sec,-348.316,1209.166,37.513,26.324,-1.876,251.873,1.378,0.025,1.294,-0,-0,-0,11.103,14.69,308.957,600.464,-0.349,0.32,0.391,5.009,-3.033,-8.789,-0.335,0.049,0.368,15.103,4.25,0.273,-0.389,0.062,0.366,3.73,-4.89,1.995
0.045 sec,-359.316,1172.764,33.362,26.091,-1.406,249.909,1.448,0.027,1.331,-0,-0,-0,11.402,15.274,292.037,574.157,-0.347,0.32,0.392,5.047,-3.318,-9.105,-0.335,0.049,0.368,15.559,4.275,0.203,-0.389,0.062,0.366,3.726,-5.221,1.962
0.046 sec,-365.84,1147.874,31.845,26.008,-1.149,248.315,1.513,0.031,1.363,-0,-0,-0,11.664,15.79,278.002,551.781,-0.346,0.32,0.392,5.079,-3.564,-9.389,-0.335,0.048,0.369,15.964,4.301,0.134,-0.389,0.062,0.367,3.723,-5.507,1.926
0.047 sec,-370.405,1128.647,31.185,26.023,-0.955,246.827,1.583,0.035,1.396,-0,-0,-0,11.932,16.325,264.321,529.651,-0.344,0.32,0.393,5.112,-3.812,-9.686,-0.334,0.048,0.369,16.384,4.334,0.057,-0.389,0.062,0.367,3.718,-5.795,1.882
0.048 sec,-373.02,1115.216,30.304,26.136,-0.877,245.481,1.655,0.04,1.428,-0,-0,-0,12.193,16.85,251.747,509.058,-0.343,0.319,0.394,5.144,-4.048,-9.981,-0.334,0.048,0.369,16.797,4.373,-0.024,-0.388,0.062,0.368,3.713,-6.07,1.833
0.049 sec,-374.012,1105.885,28.825,26.317,-0.788,244.278,1.727,0.046,1.458,-0,-0,-0,12.442,17.357,240.388,490.176,-0.342,0.319,0.395,5.173,-4.269,-10.268,-0.334,0.048,0.37,17.196,4.416,-0.107,-0.388,0.062,0.368,3.707,-6.328,1.781
0.05 sec,-373.847,1099.368,27.443,26.538,-0.788,243.15,1.8,0.054,1.486,-0,-0,-0,12.679,17.841,230.238,473.032,-0.34,0.319,0.396,5.201,-4.473,-10.543,-0.334,0.048,0.37,17.578,4.464,-0.189,-0.388,0.062,0.369,3.7,-6.566,1.729
0.051 sec,-372.989,1094.413,25.928,26.778,-0.757,242.103,1.873,0.062,1.513,-0,-0,-0,12.908,18.313,221.014,457.116,-0.339,0.319,0.397,5.227,-4.665,-10.811,-0.334,0.048,0.371,17.95,4.516,-0.272,-0.388,0.062,0.369,3.693,-6.792,1.676
0.052 sec,-371.624,1090.207,24.648,27.012,-0.753,241.085,1.948,0.071,1.538,-0,-0,-0,13.129,18.772,212.685,442.327,-0.338,0.318,0.398,5.253,-4.847,-11.073,-0.334,0.048,0.371,18.313,4.571,-0.354,-0.388,0.062,0.37,3.685,-7.006,1.623
0.053 sec,-369.754,1086.538,23.459,27.259,-0.732,240.104,2.023,0.081,1.563,-0,-0,-0,13.345,19.222,205.135,428.456,-0.336,0.318,0.399,5.277,-5.02,-11.328,-0.334,0.048,0.371,18.669,4.631,-0.435,-0.388,0.062,0.371,3.678,-7.21,1.57
0.054 sec,-367.771,1083.553,22.728,27.504,-0.758,239.239,2.093,0.091,1.586,-0,-0,-0,13.537,19.623,198.872,416.619,-0.335,0.318,0.4,5.298,-5.17,-11.555,-0.334,0.048,0.372,18.986,4.687,-0.508,-0.388,0.062,0.371,3.67,-7.388,1.524
0.055 sec,-365.508,1080.885,22.292,27.773,-0.834,238.392,2.166,0.103,1.608,-0,-0,-0,13.73,20.028,192.962,405.135,-0.334,0.318,0.4,5.32,-5.318,-11.782,-0.334,0.048,0.372,19.307,4.748,-0.581,-0.388,0.062,0.372,3.663,-7.563,1.477
0.056 sec,-363.007,1078.656,21.96,28.072,-0.911,237.603,2.243,0.116,1.63,-0,-0,-0,13.927,20.442,187.331,393.864,-0.333,0.317,0.401,5.343,-5.466,-12.014,-0.334,0.048,0.373,19.635,4.813,-0.654,-0.388,0.062,0.372,3.656,-7.739,1.431
0.057 sec,-360.393,1077.03,21.993,28.383,-1.049,236.898,2.319,0.129,1.652,-0,-0,-0,14.116,20.841,182.273,383.412,-0.332,0.317,0.402,5.364,-5.606,-12.235,-0.333,0.048,0.373,19.952,4.878,-0.724,-0.387,0.062,0.373,3.649,-7.906,1.388
0.058 sec,-357.748,1076.032,22.269,28.686,-1.222,236.301,2.392,0.143,1.673,-0,-0,-0,14.292,21.211,177.89,374.084,-0.331,0.317,0.403,5.385,-5.733,-12.438,-0.333,0.048,0.373,20.246,4.941,-0.788,-0.387,0.062,0.373,3.643,-8.058,1.349
0.059 sec,-354.76,1075.249,22.7,29.013,-1.404,235.742,2.471,0.159,1.694,-0,-0,-0,14.476,21.598,173.569,364.647,-0.33,0.317,0.404,5.407,-5.864,-12.649,-0.333,0.048,0.374,20.553,5.009,-0.852,-0.387,0.062,0.374,3.637,-8.215,1.311
0.06 sec,-352.332,1075.24,22.422,29.295,-1.378,235.451,2.536,0.173,1.712,-0,-0,-0,14.625,21.911,170.231,357.146,-0.329,0.316,0.404,5.426,-5.97,-12.817,-0.333,0.048,0.374,20.803,5.066,-0.902,-0.387,0.062,0.374,3.632,-8.342,1.282
0.061 sec,-349.59,1077.471,19.277,29.699,-0.664,235.603,2.618,0.191,1.733,-0,-0,-0,14.807,22.291,166.329,347.642,-0.328,0.316,0.405,5.449,-6.097,-13.021,-0.333,0.048,0.374,21.106,5.135,-0.961,-0.387,0.062,0.375,3.628,-8.495,1.249
0.062 sec,-347.049,1081.857,15.683,30.112,0.117,236.031,2.691,0.207,1.753,-0,-0,-0,14.968,22.627,163.051,338.608,-0.327,0.316,0.406,5.47,-6.209,-13.199,-0.333,0.048,0.375,21.375,5.197,-1.01,-0.387,0.061,0.375,3.625,-8.63,1.222
0.063 sec,-344.056,1087.816,11.933,30.562,0.924,236.631,2.768,0.226,1.773,-0,-0,-0,15.134,22.969,159.811,328.628,-0.326,0.315,0.407,5.494,-6.324,-13.379,-0.333,0.047,0.375,21.649,5.26,-1.058,-0.387,0.061,0.376,3.623,-8.767,1.197
0.064 sec,-340.848,1095.811,8.329,31.054,1.685,237.423,2.847,0.245,1.795,-0,-0,-0,15.304,23.317,156.572,317.564,-0.325,0.315,0.408,5.519,-6.441,-13.562,-0.333,0.047,0.376,21.929,5.323,-1.104,-0.387,0.061,0.376,3.623,-8.909,1.173
0.065 sec,-338.343,1102.261,6.28,31.392,2.076,237.997,2.898,0.258,1.809,-0,-0,-0,15.414,23.539,154.485,309.918,-0.325,0.315,0.408,5.537,-6.518,-13.679,-0.333,0.047,0.376,22.109,5.363,-1.132,-0.387,0.061,0.376,3.624,-9.001,1.158
0.066 sec,-333.878,1113.672,3.645,31.974,2.597,238.992,2.982,0.28,1.834,-0,-0,-0,15.595,23.898,150.992,296.628,-0.324,0.315,0.409,5.568,-6.643,-13.87,-0.333,0.047,0.376,22.401,5.424,-1.175,-0.387,0.061,0.377,3.627,-9.151,1.137
0.067 sec,-330.552,1116.901,2.845,32.247,2.804,238.314,3.049,0.297,1.854,-0,-0,-0,15.74,24.18,148.394,285.206,-0.323,0.314,0.41,5.595,-6.744,-14.021,-0.333,0.047,0.376,22.633,5.47,-1.206,-0.386,0.061,0.377,3.631,-9.273,1.12
0.068 sec,-327.556,1115.827,0.153,32.338,3.516,236.547,3.116,0.316,1.877,-0,-0,-0,15.89,24.464,146.266,272.793,-0.322,0.314,0.41,5.625,-6.85,-14.176,-0.332,0.047,0.377,22.868,5.512,-1.234,-0.386,0.061,0.378,3.639,-9.399,1.106
0.069 sec,-322.977,1126.056,1.078,32.76,3.638,237.671,3.189,0.336,1.903,-0,-0,-0,16.056,24.769,143.04,258.734,-0.322,0.314,0.411,5.661,-6.968,-14.345,-0.332,0.047,0.377,23.123,5.553,-1.262,-0.386,0.061,0.378,3.649,-9.541,1.09
0.07 sec,-320.258,1131.072,2.41,32.973,3.711,238.327,3.235,0.349,1.921,-0,-0,-0,16.165,24.965,140.769,249.138,-0.321,0.313,0.411,5.687,-7.047,-14.457,-0.332,0.047,0.377,23.289,5.576,-1.278,-0.386,0.061,0.378,3.658,-9.635,1.081
0.071 sec,-316.945,1136.009,5.148,33.191,3.745,239.105,3.297,0.366,1.947,-0,-0,-0,16.314,25.224,137.526,235.905,-0.32,0.313,0.412,5.725,-7.156,-14.608,-0.332,0.047,0.377,23.512,5.602,-1.298,-0.386,0.061,0.379,3.673,-9.765,1.068
0.072 sec,-314.031,1139.015,8.744,33.326,3.763,239.77,3.354,0.383,1.973,-0,-0,-0,16.457,25.465,134.24,223.108,-0.32,0.313,0.413,5.764,-7.263,-14.753,-0.332,0.047,0.378,23.722,5.62,-1.314,-0.386,0.061,0.379,3.691,-9.892,1.055
0.073 sec,-311.165,1138.438,15.433,33.331,3.733,240.179,3.406,0.398,1.998,-0,-0,-0,16.593,25.688,130.97,211.095,-0.319,0.312,0.413,5.805,-7.367,-14.892,-0.332,0.046,0.378,23.919,5.631,-1.328,-0.386,0.06,0.379,3.71,-10.014,1.043
0.074 sec,-308.961,1136.796,21.697,33.281,3.698,240.488,3.452,0.411,2.023,-0,-0,-0,16.718,25.886,127.829,200.548,-0.319,0.312,0.414,5.844,-7.463,-15.019,-0.332,0.046,0.378,24.099,5.636,-1.339,-0.386,0.06,0.379,3.73,-10.128,1.031
0.075 sec,-307.086,1135.148,26.974,33.21,3.633,240.771,3.494,0.423,2.048,-0,-0,-0,16.837,26.071,124.692,190.932,-0.318,0.312,0.414,5.884,-7.557,-15.141,-0.332,0.046,0.378,24.268,5.638,-1.349,-0.386,0.06,0.379,3.751,-10.238,1.019
